DepMap_ID,cell_line_name,stripped_cell_line_name,CCLE_Name,alias,COSMICID,sex,source,RRID,WTSI_Master_Cell_ID,sample_collection_site,primary_or_metastasis,primary_disease,Subtype,age,Sanger_Model_ID,depmap_public_comments,lineage,lineage_subtype,lineage_sub_subtype,lineage_molecular_subtype,default_growth_pattern,model_manipulation,model_manipulation_details,patient_id,parent_depmap_id,Cellosaurus_NCIt_disease,Cellosaurus_NCIt_id,Cellosaurus_issues
ACH-000025,CH-157MN,CH157MN,CH157MN_CENTRAL_NERVOUS_SYSTEM,,,Female,Academic lab,CVCL_5723,,central_nervous_system,,Brain Cancer,Meningioma,41,,,central_nervous_system,meningioma,,,,,,PT-nrgozM,,Meningioma,C3230,"Indicated to be from a 41 year old female patient in PubMed=7714613, from a 59 year old in PubMed=10083766 and from a 55 year old in PubMed=18261772"
ACH-000026,253J-BV,253JBV,253JBV_URINARY_TRACT,,,Male,KCLB,CVCL_7937,,lymph_node,Metastasis,Bladder Cancer,Carcinoma,53,,,urinary_tract,bladder_carcinoma,,,2D: adherent,,,PT-AR7W9o,ACH-000011,Bladder carcinoma,C4912,
ACH-000027,GOS-3,GOS3,GOS3_CENTRAL_NERVOUS_SYSTEM,,,Male,DSMZ,CVCL_2050,,central_nervous_system,Primary,Brain Cancer,Glioblastoma,64,,SNP fingerprinting confirms that this line is an U-343 MG derivative. DepMap metadata has been updated (as of 22Q2) to reflect this.,central_nervous_system,glioma,glioblastoma,,2D: adherent,,,PT-llPs5J,ACH-000036,Glioblastoma,C3058,Contaminated. Shown to be a U-343MGa derivative (PubMed=22570425). Originally thought to originate from the brain of a 55 year old patient with a mixed astro-oligodendroglioma (grade II/III).
ACH-000028,KPL-1,KPL1,KPL1_BREAST,,,Female,DSMZ,CVCL_2094,,pleural_effusion,Metastasis,Breast Cancer,Carcinoma,69,SIDM00147,SNP fingerprinting confirms that this line is an MCF-7 derivative. DepMap metadata has been updated (as of 22Q2) to reflect this.,breast,breast_carcinoma,ERpos_HER2neg,luminal,2D: adherent,,,PT-viJKnw,ACH-000019,Invasive breast carcinoma of no special type,C4194,Contaminated. Shown to be a MCF-7 derivative (PubMed=18304946; PubMed=20143388).
ACH-000029,HCC-827-GR5,HCC827GR5,HCC827GR5_LUNG,HCC827 GR5,,Female,Academic lab,CVCL_V622,,lung,Primary,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",39,,,lung,NSCLC,NSCLC_adenocarcinoma,,,,,PT-NdspH5,ACH-000012,Lung adenocarcinoma,C3512,
ACH-000030,PC-14,PC14,PC14_LUNG,,753608.0,Male,RIKEN,CVCL_1640,198.0,lung,Primary,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",45,SIDM00237,,lung,NSCLC,NSCLC_adenocarcinoma,,2D: adherent,,,PT-nDRyc6,ACH-000779,Lung adenocarcinoma,C3512,TP53 mutation indicated incorrectly as being at c.742C>T in PubMed=10536175 and PubMed=20557307
ACH-000031,Panc 02.13,PANC0213,PANC0213_PANCREAS,,,Female,ATCC,CVCL_1634,,pancreas,Primary,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine",64,,,pancreas,exocrine,exocrine_adenocarcinoma,,2D: adherent,,,PT-o4NqQC,,Pancreatic adenocarcinoma,C8294,
ACH-000034,,PLB985,PLB985_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,"PLB985, PLB-985",,Female,Academic lab,CVCL_2162,,haematopoietic_and_lymphoid_tissue,Primary,Leukemia,"Acute Myelogenous Leukemia (AML), M3 (Promyelocytic)",35,SIDM00811,SNP fingerprinting confirms that this line is an HL-60 derivative. DepMap metadata has been updated (as of 22Q2) to reflect this.,blood,AML,M3,,,,,PT-5qa3uk,ACH-000002,Adult acute myeloid leukemia,C9154,Contaminated. Shown to be a HL-60 derivative (PubMed=12592342; PubMed=20143388). Originally thought to originate from a 38 year old female patient with acute nonlymphocytic leukemia.
ACH-000035,NCI-H1650,NCIH1650,NCIH1650_LUNG,,687800.0,Male,ATCC,CVCL_1483,1548.0,pleural_effusion,Metastasis,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",27,SIDM00745,,lung,NSCLC,NSCLC_adenocarcinoma,,2D: adherent,,,PT-5LVIPg,,Minimally invasive lung adenocarcinoma,C2923,
ACH-000036,U343,U343,U343_CENTRAL_NERVOUS_SYSTEM,,,Male,Academic lab,CVCL_4773,,central_nervous_system,,Brain Cancer,Glioblastoma,64,,,central_nervous_system,glioma,glioblastoma,,,,,PT-llPs5J,,Glioblastoma,C3058,
ACH-000037,S-117,S117,S117_THYROID,,,Female,DSMZ,CVCL_1674,,soft_tissue,,Sarcoma,Thyroid Sarcoma,47,SIDM00035,,soft_tissue,thyroid_sarcoma,,,,,,PT-JfLphU,,Thyroid gland sarcoma,C6041,
ACH-000038,EHEB,EHEB,EHEB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,906854.0,Female,DSMZ,CVCL_1194,39.0,haematopoietic_and_lymphoid_tissue,,Lymphoma,B-cell,69,SIDM01049,,lymphocyte,lymphoma_unspecified,b_cell,,2D: suspension,,,PT-LoXnDo,,,,Probably misclassified. Originally thought to be a leukemia cell line but is probably a B-lymphoblastoid cell line (PubMed=12592342).
ACH-000039,SK-N-MC,SKNMC,SKNMC_BONE,,,Female,ATCC,CVCL_0530,,bone,Metastasis,Bone Cancer,Ewings Sarcoma,14,SIDM00634,,bone,Ewing_sarcoma,,EWS_FLI,2D: adherent,,,PT-wGDMGe,,Askin tumor,C7542,Misclassified. Originally thought to be a neuroblastoma cell line but shown to be from an Askin tumor (PubMed=20143388).
ACH-000040,U-118 MG,U118MG,U118MG_CENTRAL_NERVOUS_SYSTEM,,687588.0,Male,ATCC,CVCL_0633,7.0,central_nervous_system,Primary,Brain Cancer,Glioma,47,SIDM01193,SNP fingerprinting confirms that this line is an U-138 MG derivative. DepMap metadata has been updated (as of 22Q2) to reflect this.,central_nervous_system,glioma,astrocytoma,,2D: adherent,,,PT-5XnRfQ,ACH-001214,Astrocytoma,C60781,Contaminated. Shown to be a U-138MG derivative (PubMed=20143388).
ACH-000041,RD-ES,RDES,RDES_BONE,,,Male,ATCC,CVCL_2169,,bone,Primary,Bone Cancer,Ewings Sarcoma,19,,,bone,Ewing_sarcoma,,EWS_FLI,2D: adherent,,,PT-3yDaRJ,,Ewing sarcoma,C4817,
ACH-000042,Panc 02.03,PANC0203,PANC0203_PANCREAS,,1298475.0,Female,ATCC,CVCL_1633,1838.0,pancreas,Primary,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine",70,SIDM01139,,pancreas,exocrine,exocrine_adenocarcinoma,,2D: adherent,,,PT-QOpMVz,,Pancreatic adenocarcinoma,C8294,
ACH-000044,MDA-MB-134-VI,MDAMB134VI,MDAMB134VI_BREAST,,,Female,ATCC,CVCL_0617,,pleural_effusion,Metastasis,Breast Cancer,Breast Ductal Carcinoma,47,SIDM00005,,breast,breast_ductal_carcinoma,ERpos_HER2neg,luminal,2D: mixed adherent and suspension,,,PT-HMBfbj,,Invasive breast lobular carcinoma,C7950,
ACH-000045,MV4;11,MV411,MV411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MV-4-11,908156.0,Male,ATCC,CVCL_0064,133.0,haematopoietic_and_lymphoid_tissue,Primary,Leukemia,Acute Myelogenous Leukemia (AML),10,SIDM00657,,blood,AML,,,2D: suspension,,,PT-zb7Sx0,,Childhood acute monocytic leukemia,C9163,
ACH-000046,ACHN,ACHN,ACHN_KIDNEY,,905950.0,Male,ATCC,CVCL_1067,371.0,pleural_effusion,Metastasis,Kidney Cancer,Renal Cell Carcinoma,22,SIDM00123,,kidney,renal_cell_carcinoma,,,2D: adherent,,,PT-zV8Sol,,Papillary renal cell carcinoma,C6975,
ACH-000047,GCIY,GCIY,GCIY_STOMACH,,906869.0,Female,RIKEN,CVCL_1228,1414.0,ascites,Metastasis,Gastric Cancer,Adenocarcinoma,39,SIDM00274,,gastric,gastric_adenocarcinoma,,,,,,PT-UVwT4j,,Gastric adenocarcinoma,C4004,
ACH-000048,TOV-112D,TOV112D,TOV112D_OVARY,,1299070.0,Female,ATCC,CVCL_3612,5.0,ovary,Primary,Ovarian Cancer,"Adenocarcinoma, endometrioid",42,SIDM01170,,ovary,ovary_adenocarcinoma,endometrioid,,2D: adherent,,,PT-EehOTC,,Ovarian endometrioid adenocarcinoma,C7979,
ACH-000050,NCI-H929,NCIH929,NCIH929_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,724825.0,Female,ATCC,CVCL_1600,1230.0,pleural_effusion,Metastasis,Myeloma,"Multiple Myeloma, plasmacytoma",62,SIDM01148,SNP fingerprinting rules out K-562 contamination.,plasma_cell,multiple_myeloma,plasmacytoma,,,,,PT-HOg2sh,,Plasma cell myeloma,C3242,
ACH-000052,A-673,A673,A673_BONE,,684052.0,Female,ATCC,CVCL_0080,660.0,soft_tissue,Primary,Bone Cancer,Ewings Sarcoma,15,SIDM00848,,bone,Ewing_sarcoma,,EWS_FLI,2D: adherent,,,PT-IAac7b,,Ewing sarcoma,C4817,Misclassified. Originally thought to be a rhabdomyosarcoma cell line but shown to be from an Ewing sarcoma (PubMed=10379870; PubMed=12606131; PubMed=14697648).
ACH-000053,KARPAS-299,KARPAS299,KARPAS299_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,907273.0,Male,Academic lab,CVCL_1324,906.0,haematopoietic_and_lymphoid_tissue,,Lymphoma,"T-cell, Non-Hodgkins, Anaplastic Large Cell (ALCL)",25,SIDM01010,,lymphocyte,non_hodgkin_lymphoma,t_cell_ALCL,,2D: suspension,,,PT-nECHHn,,"Anaplastic large cell lymphoma, ALK-positive",C37193,
ACH-000054,HT-1080,HT1080,HT1080_SOFT_TISSUE,,907064.0,Male,ATCC,CVCL_0317,1391.0,soft_tissue,Metastasis,Sarcoma,Fibrosarcoma,35,SIDM00828,,soft_tissue,fibrosarcoma,,,2D: adherent,,,PT-cVfhmE,,Fibrosarcoma,C3043,
ACH-000055,D283 Med,D283MED,D283MED_CENTRAL_NERVOUS_SYSTEM,D283,906834.0,Male,ATCC,CVCL_1155,1184.0,abdomen,Metastasis,Brain Cancer,Medulloblastoma,6,SIDM00888,,central_nervous_system,medulloblastoma,med_group_3,MYC_exp,2D: adherent,,,PT-xKYZGz,,Medulloblastoma,C3222,
ACH-000056,DOHH-2,DOHH2,DOHH2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,906842.0,Male,DSMZ,CVCL_1179,1339.0,pleural_effusion,Metastasis,Lymphoma,Diffuse Large B-cell Lymphoma (DLBCL),60,SIDM00981,,lymphocyte,non_hodgkin_lymphoma,DLBCL,,,,,PT-QeK3sM,,Diffuse large B-cell lymphoma germinal center B-cell type,C36080,A TP53 mutation is indicated as being at p.Ala138Pro (c.412G>C) in PubMed=17363600 but has not been confirmed by CCLE and Cosmic-CLP
ACH-000057,OPM-1,OPM1,OPM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,Female,Academic lab,CVCL_5210,,haematopoietic_and_lymphoid_tissue,,Myeloma,Multiple Myeloma,56,SIDM00456,,plasma_cell,multiple_myeloma,,,,,,PT-codP7n,,Plasma cell myeloma,C3242,
ACH-000058,ML-1,ML1,ML1_THYROID,,1240178.0,Female,DSMZ,CVCL_H525,1227.0,thyroid,,Thyroid Cancer,"Carcinoma, follicular",50,SIDM00442,,thyroid,thyroid_carcinoma,follicular,,2D: adherent,,,PT-HRqr49,,Thyroid gland follicular carcinoma,C8054,
ACH-000059,SUP-B15,SUPB15,SUPB15_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,1247871.0,Male,ATCC,CVCL_0103,786.0,bone_marrow,Primary,Leukemia,"Acute Lymphoblastic Leukemia (ALL), B-cell",9,SIDM01176,,blood,ALL,b_cell,,2D: suspension,,,PT-rikOUx,,Childhood B acute lymphoblastic leukemia with t(922)(q34.1q11.2) BCR-ABL1,C68659,
ACH-000060,Panc 10.05,PANC1005,PANC1005_PANCREAS,,925348.0,Male,ATCC,CVCL_1639,197.0,pancreas,Primary,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine",81,SIDM01135,,pancreas,exocrine,exocrine_adenocarcinoma,,2D: adherent,,,PT-9JMXWA,,Pancreatic ductal adenocarcinoma,C9120,
ACH-000061,HH,HH,HH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,907056.0,Male,ATCC,CVCL_1280,310.0,haematopoietic_and_lymphoid_tissue,,Lymphoma,"T-cell, Non-Hodgkins, Cutaneous",61,SIDM00671,,lymphocyte,non_hodgkin_lymphoma,t_cell_cutaneous,,2D: suspension,,,PT-hDGIfb,,Primary cutaneous T-cell non-Hodgkin lymphoma,C3467,
ACH-000062,RERF-LC-MS,RERFLCMS,RERFLCMS_LUNG,,910931.0,Male,JCRB,CVCL_1655,2051.0,lung,Primary,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",,SIDM00355,,lung,NSCLC,NSCLC_adenocarcinoma,,2D: adherent,,,PT-Rt0hf4,,Lung adenocarcinoma,C3512,
ACH-000063,,HS616T,HS616T_FIBROBLAST,,,Male,,CVCL_0825,,fibroblast,,Non-Cancerous,Lymphoma,16,,,fibroblast,fibroblast_lymphocyte,,,2D: adherent,,,PT-kuvMUl,,Hodgkin lymphoma,C9357,
ACH-000065,OCI-AML5,OCIAML5,OCIAML5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,1330983.0,Male,DSMZ,CVCL_1620,2130.0,haematopoietic_and_lymphoid_tissue,Primary,Leukemia,Acute Myelogenous Leukemia (AML),77,SIDM00461,,blood,AML,,,,,,PT-EsXLcC,,Adult acute myeloid leukemia,C9154,
ACH-000066,HCC4006,HCC4006,HCC4006_LUNG,,,Male,ATCC,CVCL_1269,,pleural_effusion,Metastasis,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",Adult,,,lung,NSCLC,NSCLC_adenocarcinoma,,2D: adherent,,,PT-QxlnnP,,Lung adenocarcinoma,C3512,
ACH-000067,Hs 683,HS683,HS683_CENTRAL_NERVOUS_SYSTEM,,1240150.0,Male,ATCC,CVCL_0844,769.0,central_nervous_system,Primary,Brain Cancer,Oligodendroglioma,76,SIDM00666,,central_nervous_system,glioma,oligodendroglioma,,2D: adherent,,,PT-25yL7C,,Oligodendroglioma,C3288,
ACH-000069,Hs 611.T,HS611T,HS611T_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,Female,ATCC,CVCL_0823,,haematopoietic_and_lymphoid_tissue,,Lymphoma,"B-cell, Hodgkins",48,,,lymphocyte,hodgkin_lymphoma,,,2D: mixed adherent and suspension,,,PT-RgXHAi,,Hodgkin lymphoma,C9357,
ACH-000070,697,697,697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,906800.0,Male,DSMZ,CVCL_0079,63.0,bone_marrow,Primary,Leukemia,"Acute Lymphoblastic Leukemia (ALL), B-cell",12,SIDM01076,,blood,ALL,b_cell,,2D: adherent,,,PT-0yrZJC,,Childhood B acute lymphoblastic leukemia,C9140,
ACH-000072,MEG-01,MEG01,MEG01_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,908126.0,Male,ATCC,CVCL_0425,1263.0,bone_marrow,,Leukemia,Chronic Myelogenous Leukemia (CML),55,SIDM00526,,blood,CML,,,2D: mixed adherent and suspension,,,PT-yx4h8S,,"Blast phase chronic myelogenous leukemia, BCR-ABL1 positive",C9110,
ACH-000073,GRANTA-519,GRANTA519,GRANTA519_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,1303897.0,Female,DSMZ,CVCL_1818,1776.0,haematopoietic_and_lymphoid_tissue,Primary,Lymphoma,"B-cell, Non-Hodgkins, Mantle Cell",58,SIDM01058,,lymphocyte,non_hodgkin_lymphoma,b_cell_mantle_cell,,,,,PT-wktVrL,,Mantle cell lymphoma,C4337,
ACH-000074,KU812,KU812,KU812_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,907311.0,Male,ATCC,CVCL_0379,598.0,haematopoietic_and_lymphoid_tissue,,Leukemia,"Chronic Myelogenous Leukemia (CML), blast crisis",38,SIDM00308,,blood,CML,blast_crisis,,,,,PT-FJahu6,,"Chronic myelogenous leukemia, BCR-ABL1 positive",C3174,
ACH-000075,U-87 MG,U87MG,U87MG_CENTRAL_NERVOUS_SYSTEM,,687590.0,Male,ATCC,CVCL_0022,549.0,central_nervous_system,Primary,Brain Cancer,Astrocytoma,44,SIDM01189,,central_nervous_system,glioma,astrocytoma,,2D: adherent,,,PT-59c3mE,,Glioblastoma,C3058,Misidentified. This cell line is not the original glioblastoma cell line established in 1968 at the University of Uppsala. As described in PubMed=27582061 it is most probably also a glioblastoma cell line but whose origin is unknow. See U-87MG Uppsala (CVCL_GP63) for the original U-87MG cell line.
ACH-000078,MHH-NB-11,MHHNB11,MHHNB11_AUTONOMIC_GANGLIA,,908135.0,Male,DSMZ,CVCL_1412,1818.0,autonomic_ganglia,Metastasis,Neuroblastoma,,4,SIDM00387,,peripheral_nervous_system,neuroblastoma,,MYCN_amp,2D: adherent,,,PT-Vot01h,,Neuroblastoma,C3270,
ACH-000080,BDCM,BDCM,BDCM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,Male,ATCC,CVCL_4613,,haematopoietic_and_lymphoid_tissue,,Leukemia,"Acute Myelogenous Leukemia (AML), M5 (Eosinophilic/Monocytic)",,,,blood,AML,M5,,,,,PT-c6Ag34,,Acute myeloid leukemia,C3171,
ACH-000081,GDM-1,GDM1,GDM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,906870.0,Female,ATCC,CVCL_1230,164.0,haematopoietic_and_lymphoid_tissue,,Leukemia,Acute Myelogenous Leukemia (AML),66,SIDM01057,,blood,AML,,,,,,PT-OtgTTm,,Adult acute myeloid leukemia,C9154,
ACH-000082,"G-292, clone A141B1",G292CLONEA141B1,G292CLONEA141B1_BONE,"G292CLONEA141B1, G-292 clone A141B1",1290807.0,Female,ATCC,CVCL_2909,661.0,bone,Primary,Bone Cancer,Osteosarcoma,9,SIDM00858,,bone,osteosarcoma,,,2D: adherent,,,PT-noCCE4,,Osteosarcoma,C9145,
ACH-000083,Hs 281.T,HS281T,HS281T_FIBROBLAST,,,Female,ATCC,CVCL_0715,,fibroblast,,Non-Cancerous,Breast,37,,,fibroblast,fibroblast_breast,,,2D: adherent,,,PT-BMJ8bq,,Breast carcinoma,C4872,
ACH-000085,T3M-4,T3M4,T3M4_PANCREAS,,,Male,RIKEN,CVCL_4056,,lymph_node,Primary,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine",64,,,pancreas,exocrine,exocrine_adenocarcinoma,,2D: adherent,,,PT-FnO2p8,,Pancreatic ductal adenocarcinoma,C9120,
ACH-000086,ACC-MESO-1,ACCMESO1,ACCMESO1_PLEURA,,,Female,RIKEN,CVCL_5113,,pleura,,Lung Cancer,Mesothelioma,61,,,lung,mesothelioma,,,,,,PT-nZJ0Fu,,Pleural epithelioid mesothelioma,C45662,
ACH-000087,SK-ES-1,SKES1,SKES1_BONE,,684072.0,Male,ATCC,CVCL_0627,41.0,bone,Primary,Bone Cancer,Ewings Sarcoma,18,SIDM01111,,bone,Ewing_sarcoma,,EWS_FLI,,,,PT-VA04Md,,Ewing sarcoma,C4817,
ACH-000088,,HS172T,HS172T_FIBROBLAST,,,Male,ATCC,CVCL_0660,,fibroblast,,Non-Cancerous,Bladder,50,,,fibroblast,fibroblast_urinary_tract,,,2D: adherent,,,PT-fmS8rl,,Bladder carcinoma,C4912,
ACH-000090,PC-3,PC3,PC3_PROSTATE,,905934.0,Male,ATCC,CVCL_0035,911.0,bone,Metastasis,Prostate Cancer,Adenocarcinoma,62,SIDM00088,,prostate,prostate_adenocarcinoma,,,2D: adherent,,,PT-j0lUB5,,Prostate carcinoma,C4863,There seems to be two distinct cell lines which were assigned NCBI_Iran catalog number C427
ACH-000091,OV56,OV56,OV56_OVARY,,1480362.0,Female,ECACC,CVCL_2673,686.0,ascites,Metastasis,Ovarian Cancer,"Adenocarcinoma, serous",46,SIDM00475,,ovary,ovary_adenocarcinoma,serous,,2D: adherent,,,PT-kmyeHR,,Ovarian serous adenocarcinoma,C7550,
ACH-000092,NCI-H2452,NCIH2452,NCIH2452_PLEURA,,908462.0,Male,ATCC,CVCL_1553,624.0,pleura,Metastasis,Lung Cancer,Mesothelioma,Adult,SIDM00722,,lung,mesothelioma,,,2D: adherent,,,PT-GaubVg,,Pleural biphasic mesothelioma,C45665,
ACH-000094,HPAF-II,HPAFII,HPAFII_PANCREAS,,724869.0,Male,ATCC,CVCL_0313,889.0,ascites,Metastasis,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine",44,SIDM00669,,pancreas,exocrine,exocrine_adenocarcinoma,,2D: adherent,,,PT-bW9aaR,,Pancreatic ductal adenocarcinoma,C9120,TP53 mutation indicated incorrectly as being at c.452C>T in PubMed=1764370
ACH-000095,D341,D341,D341MED_CENTRAL_NERVOUS_SYSTEM,D341MED,,Male,ATCC,CVCL_0018,,central_nervous_system,,Brain Cancer,Medulloblastoma,3,,,central_nervous_system,medulloblastoma,med_group_3,MYC_amp,,,,PT-nsjOrX,,Medulloblastoma,C3222,
ACH-000096,G-401,G401,G401_SOFT_TISSUE,,907299.0,Male,ATCC,CVCL_0270,962.0,kidney,Primary,Rhabdoid,Malignant Rhabdoid Tumor,0,SIDM00856,,kidney,malignant_rhabdoid_tumor,,,2D: adherent,,,PT-ABKGjf,,Rhabdoid tumor of the kidney,C8715,Misclassified. Originally thought to be a Wilms tumor cell line but is a kidney rhabdoid tumor cell line (PubMed=8382007).
ACH-000097,ZR-75-1,ZR751,ZR751_BREAST,,,Female,ATCC,CVCL_0588,,ascites,Metastasis,Breast Cancer,Breast Ductal Carcinoma,63,SIDM00314,,breast,breast_ductal_carcinoma,ERpos_HER2neg,luminal,2D: adherent,,,PT-k1TO7o,,Invasive breast carcinoma of no special type,C4194,
ACH-000098,GAMG,GAMG,GAMG_CENTRAL_NERVOUS_SYSTEM,,906868.0,Female,DSMZ,CVCL_1226,1174.0,central_nervous_system,Primary,Brain Cancer,Glioblastoma,42,SIDM01055,,central_nervous_system,glioma,glioblastoma,,2D: adherent,,,PT-HmIANs,,Glioblastoma,C3058,
ACH-000099,SIMA,SIMA,SIMA_AUTONOMIC_GANGLIA,,753620.0,Male,DSMZ,CVCL_1695,2076.0,autonomic_ganglia,,Neuroblastoma,,1,SIDM00395,,peripheral_nervous_system,neuroblastoma,,,,,,PT-JpfhsL,,Adrenal gland neuroblastoma,C4827,
ACH-000100,RH-41,RH41,RH41_SOFT_TISSUE,,1240210.0,Female,DSMZ,CVCL_2176,2052.0,liver,Metastasis,Sarcoma,"Rhabdomyosarcoma, alveolar",7,SIDM00426,,soft_tissue,rhabdomyosarcoma,alveolar,,2D: adherent,,,PT-BN67ox,,Alveolar rhabdomyosarcoma,C3749,
ACH-000101,KE-37,KE37,KE37_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,907277.0,Male,DSMZ,CVCL_1327,1012.0,haematopoietic_and_lymphoid_tissue,,Leukemia,"Acute Lymphoblastic Leukemia (ALL), T-cell",27,SIDM01003,SNP fingerprinting rules out CCRF-CEM contamination.,blood,ALL,t_cell,,2D: suspension,,,PT-6Sunyd,,Adult T acute lymphoblastic leukemia,C9142,
ACH-000102,GMS-10,GMS10,GMS10_CENTRAL_NERVOUS_SYSTEM,,906873.0,Male,DSMZ,CVCL_1233,294.0,central_nervous_system,Primary,Brain Cancer,Glioblastoma,49,SIDM01074,,central_nervous_system,glioma,glioblastoma,,,,,PT-CuQsSC,,Glioblastoma,C3058,
ACH-000103,Caov-4,CAOV4,CAOV4_OVARY,,949090.0,Female,ATCC,CVCL_0202,1524.0,ovary,Metastasis,Ovarian Cancer,"Adenocarcinoma, high grade serous",45,SIDM00918,,ovary,ovary_adenocarcinoma,high_grade_serous,,2D: adherent,,,PT-gCHPXX,,High grade ovarian serous adenocarcinoma,C105555,
ACH-000104,Loucy,LOUCY,LOUCY_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,907789.0,Female,ATCC,CVCL_1380,1645.0,haematopoietic_and_lymphoid_tissue,,Leukemia,"Acute Lymphoblastic Leukemia (ALL), T-cell",38,SIDM00342,,blood,ALL,t_cell,,2D: suspension,,,PT-JJAsvr,,Adult T acute lymphoblastic leukemia,C9142,
ACH-000105,ALL-SIL,ALLSIL,ALLSIL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,1295740.0,Male,DSMZ,CVCL_1805,2263.0,haematopoietic_and_lymphoid_tissue,Primary,Leukemia,"Acute Lymphoblastic Leukemia (ALL), T-cell",17,SIDM00994,,blood,ALL,t_cell,,,,,PT-MYSpL6,,Childhood T acute lymphoblastic leukemia,C7953,
ACH-000106,JVM-2,JVM2,JVM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,907269.0,Female,DSMZ,CVCL_1319,764.0,haematopoietic_and_lymphoid_tissue,,Lymphoma,"B-cell, Non-Hodgkins, Mantle Cell",63,SIDM01013,,lymphocyte,non_hodgkin_lymphoma,b_cell_mantle_cell,,,,,PT-JfG7uC,,Mantle cell lymphoma,C4337,
ACH-000107,Capan-2,CAPAN2,CAPAN2_PANCREAS,,910915.0,Male,ATCC,CVCL_0026,703.0,pancreas,Primary,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine",56,SIDM00943,,pancreas,exocrine,exocrine_adenocarcinoma,,2D: adherent,,,PT-vjRLEt,,Pancreatic ductal adenocarcinoma,C9120,TP53 mutation indicated incorrectly as being at c.818G>A in PubMed=1630814
ACH-000108,KP-3,KP3,KP3_PANCREAS,,1298219.0,Male,HSRRB,CVCL_3005,155.0,liver,Metastasis,Pancreatic Cancer,"Ductal Adenosquamous Carcinoma, exocrine",75,SIDM00571,,pancreas,exocrine,exocrine_adenosquamous,,,,,PT-GEVVKA,,Pancreatic adenosquamous carcinoma,C5721,
ACH-000109,NCI-H3255,NCIH3255,NCIH3255_LUNG,,,Female,Academic lab,CVCL_6831,,lung,Primary,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",52,SIDM00046,,lung,NSCLC,NSCLC_adenocarcinoma,,2D: adherent,,,PT-Zwpb82,,Lung adenocarcinoma,C3512,Removed from DepMap;
ACH-000111,HCC1187,HCC1187,HCC1187_BREAST,,749711.0,Female,ATCC,CVCL_1247,1644.0,breast,Primary,Breast Cancer,Breast Ductal Carcinoma,41,SIDM00885,,breast,breast_ductal_carcinoma,ERneg_HER2neg,basal_A,2D: mixed adherent and suspension,,,PT-yKJqsn,,Breast ductal carcinoma,C4017,
ACH-000112,SIG-M5,SIGM5,SIGM5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,909715.0,Male,DSMZ,CVCL_1694,656.0,bone_marrow,,Leukemia,"Acute Myelogenous Leukemia (AML), M5 (Eosinophilic/Monocytic)",63,SIDM00396,,blood,AML,M5,,,,,PT-SHvyVR,,Adult acute myeloid leukemia,C9154,
ACH-000113,OCI-AML2,OCIAML2,OCIAML2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,910947.0,Male,DSMZ,CVCL_1619,749.0,haematopoietic_and_lymphoid_tissue,Primary,Leukemia,"Acute Myelogenous Leukemia (AML), M4 (Myelomonocytic)",65,SIDM00446,,blood,AML,M4,,,,,PT-OA9fna,,Adult acute myeloid leukemia,C9154,
